n,id_moodle,titulo_catalogo,nome_curso,carga_horaria,idioma,nivel_dificuldade,professores_instrutores,publico_alvo,requisitos_tecnicos,pre_requisitos,descricao_curso,conteudos,metodologia,processo_avaliacao,categorias_nomes,tags,libras,link_curso,link_info,link_thumb,erro_extracao
1,668,Como criar um MOOC,Como Criar um MOOC?,60h,Português,Básico,[Pollyanna da Silva Santos](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=28),"Professores, servidores, alunos do Ifes e de outras instituições e pessoas da comunidade em geral que desejam produzir cursos MOOC.",Necessário computador ou smartphone com acesso à internet.,Não há pré-requisitos para realização desse curso.,"O curso visa orientar professores e demais profissionais interessados a compreender o que são os cursos MOOC, a plataforma de cursos abertos do Ifes, e como criar os cursos MOOC nesta plataforma, desde sua concepção, planejamento, desenvolvimento, implementação até a avaliação.","Introdução ao MOOC
Processo de criação de um curso MOOC
Análise (Analysis) - Elaborando o projeto do curso
Projeto (Design) - Planejando o curso
Desenvolvimento (Development) - Produzindo o curso
Implementação (Implement) - Configurando o curso
Avaliação (Evaluate) - Avaliando o curso","Os conteúdos, a serem estudados de forma livre pelo cursista, estão disponíveis em forma de vídeos, materiais textuais e links para internet.
Há diversas atividades práticas propostas para que o cursista pratique os conhecimentos adquiridos, especialmente por meio dos modelos fornecidos e pela sala virtual de prática.
Há um fórum de discussão no qual os alunos podem interagir entre si, visando sanar dúvidas ou discutir os conteúdos trabalhados.
Há fóruns ou outros recursos específicos em que os alunos podem compartilhar suas produções com os colegas, bem como olhar e comentar suas produções, visando compartilhar experiências e ter novas ideias.
Há questionários avaliativos de correção automática.
Este curso não possui tutoria.","A avaliação da aprendizagem é constituída de sete atividades avaliativas no formato de questionário e quatro atividades práticas ao longo do curso, com envio de arquivo.
Há um questionário ao final de cada tópico, que juntos totalizam 100 pontos, sendo que o do tópico Desenvolvimento vale 40 pontos e os demais valem 10 pontos cada. Os questionários possuem restrição para sua realização. Assim, só poderão ser realizados caso o estudante tenha acessado certos recursos ou tenha realizado a entrega de determinadas atividades, conforme especificado em cada um.
Atividades que precisam ser entregues:Compartilhando seu Mapa de Atividades Inicial,Compartilhando seu Mapa de Atividades Final,Envio de Recursos e Atividades configurados no Moodle. Há ainda a atividadeCompartilhando seu Projeto de Curso, fundamental para servidores do Ifes.
Para obter aprovação, o cursista deverá alcançar no mínimo 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas ao longo do curso.",Educação a Distância,addiem;analise;avaliacao;construcao-de-cursos;desenho-didatico;desenvolvimento;design;design-educacional;implementacao;modelo;mooc;processo;producao-de-cursos,sim,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?como-criar-mooc,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=668,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_ComoCriarMOOC.jpg,
2,643,Moodle 4 para Educadores,Moodle 4 para Educadores,60 horas,Português,Intermediário,[Bruno Porto](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=3439),"Servidores do Ifes que necessitam aprender a criar salas virtuais para cursos, disciplinas na modalidade à distância ou para apoio à modalidade presencial.Além deste público, o curso atende a qualquer profissional da educação que necessite criar salas virtuais para projetos de pesquisa ou extensão; comissões; oficinas e outros fins educacionais.","Computador e acesso à internet.O estudo pode ser feito por meio de smartphone, mas algumas atividades requerem o uso de computador.",Conhecimentos básicos em informática e editores de texto.,O curso orienta à criação de sala virtual com inserção de recursos e atividades levando o educador a uma reflexão sobre o potencial construcionista do Moodle e suas potencialidades para a realização de aulas com atividades colaborativas e as possibilidades de acompanhamento e avaliação da aprendizagem.,"Introdução ao Moodle
Gerenciamento de sala virtual no Moodle 4 do Ifes
Recursos: Elaboração e Publicação de conteúdo
Atividades: Criação e configuração
Acompanhamento e avaliação da aprendizagem","O curso propõe uma metodologia que contempla momentos de estudos individuais e atividades baseadas em autoinstrução como estudos dirigidos e questionários online, seguidos de momentos com atividades que levam o cursista à reflexão individual sobre sua prática e atividades práticas em espaço coletivo com atividade de construção de sala virtual a ser realizada em sala específica, na qual o cursista tem papel de editor no Moodle e pode praticar de forma livre e criativa os conteúdos desenvolvidos no curso. Este curso não possui tutoria.","A avaliação da aprendizagem é constituída de atividades avaliativas no formato de autocorreção e atividades práticas ao longo do curso. Além disso, ao longo do curso, o cursista realiza a prática na sala virtual e, ao final, o envio da atividade final que consiste no envio de um arquivo com a demonstração da realização da prática final. Para obter aprovação, o cursista deve alcançar 60% da nota máxima no curso, constituída da média de todas as atividades avaliativas realizadas ao longo do curso e o envio da atividade final nos termos estabelecidos.
Criar Conta
Turmas anteriores",Educação a Distância,formacao-de-professores;mediacao;moodle;professor-mediador,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-educadores,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=643,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/08/vitrine_Moodle4_Educadores.png,
3,649,Moodle 4 para Estudantes,Moodle 4 para Estudantes,20 horas,Português,Básico,[Talita Molina Lopes Tanes](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=21046),alunos do Ifes ou público em geral que necessitam aprender a utilizar e interagir nas salas virtuais criadas no Ambiente Virtual de Aprendizagem (AVA) Moodle do Ifes.,necessário ter acesso à Internet. Poderá ser acessado viasmartphoneou computador.,Não há pré-requisitos.,"Este curso tem por objetivo levar os alunos a navegarem e tirarem o melhor proveito do Ambiente Virtual de Aprendizagem (AVA) Moodle 4 utilizado pelo Ifes, bem como levá-los a refletir sobre a importância da organização para o sucesso de sua aprendizagem em cursos ou disciplinas realizadas a distância.","Introdução ao Moodle
Importância da organização para realizar cursos a distância;
O que é um Ambiente Virtual de Ensino e Aprendizagem;
Navegando no Moodle (Barra de progresso, Livro de notas, Caixas adesivas)
Disponibilidade de Conteúdos
Arquivo/URL
Pasta
Página
Livro
Lição
Tipos de Atividades
Tarefa
Questionário
Base de Dados
Fórum
Laboratório de Avaliação
Glossário
Wiki","A metodologia do curso contempla momentos de estudos individuais e atividades baseadas em autoinstrução como estudos dirigidos e questionários online, seguidos de momentos com atividades que levam o cursista à reflexão individual sobre sua aprendizagem. Os conteúdos podem ser estudados de forma livre pelo cursista e estão disponíveis em forma de vídeo tutoriais e material complementar (links, vídeos e textos considerados relevantes). Os cursistas têm à disposição um espaço de fórum colaborativo para troca de informações e colaboração no caso de dúvidas, aprendendo uns com os outros e colaborando ativamente na construção do conhecimento. Este curso não possui tutoria.","A avaliação da aprendizagem será formativa e ocorrera ao longo do curso conforme descrição a seguir:
EaD e Introdução ao Moodle – 40 pontos
Atividades e Recursos - 60 pontos
Para obter aprovação, o cursista deve alcançar 60% da nota máxima no curso, constituída da somatória de todas as atividades avaliativas realizadas ao longo do curso.
Criar Conta
Turmas anteriores",Educação a Distância;Tecnologias Educacionais,aprendizagem;atividades;ava;avea;conteudos;ead;estudantes;moodle;recursos,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?moodle-4-para-estudantes,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=649,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2025/08/unac-moodle4-estudantes-vitrine.png,
4,707,Mediação pedagógica no Moodle,Mediação pedagógica no Moodle,60 horas,Português,Básico,[Cleyton Santana de Sousa](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=211),"Profissionais que irão atuar em processo de tutoria, professores, e etc","Computador e acesso à internet.
O estudo pode ser feito por meio de smartphone, mas algumas atividades requerem o uso de computador com editor de texto.",Conhecimentos básicos em informática,"Formar mediadores pedagógicos (também chamados de tutores) para atuarem na modalidade de educação a distância por meio doambiente virtual de aprendizagemMoodle. Assim, aprenderão sobre mediação pedagógica na EaD, avaliação, feedback, bem como realizarão práticas no Moodle.","EaD eAmbiente Virtual de Aprendizagem
Mediação Pedagógica em EaD
Avaliação e o feedback na EaD
Praticando a mediação pedagógica no Moodle","O curso propõe uma metodologia que contempla momentos de estudos individuais e atividades baseadas em autoestudo.
Os materiais e conteúdos a serem estudados pelos cursistas estão no formato de vídeos, textos, links e livros do Moodle.
Há atividades práticas propostas para que o cursista pratique os conhecimentos adquiridos, especialmente por meio dos modelos fornecidos e pela sala virtual de prática.
Há um fórum de discussão no qual os alunos podem interagir entre si, visando sanar dúvidas ou discutir os conteúdos trabalhados.
Há fóruns ou outros recursos específicos em que os alunos podem compartilhar suas produções com os colegas, bem como olhar e comentar suas produções, visando compartilhar experiências e ter novas ideias.
Há questionários avaliativos de correção automática.
Este curso não possui tutoria.","O cursista será avaliado por meio de questionários avaliativos de autocorreção ao final de cada tópico, que juntos totalizam 100 pontos. Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores
Gerente:Vanessa Battestin
Gerente:Aline Pinto Amorim",Educação a Distância,ava;avaliacao;ead;feedback;mediacao-pedagogica;mediadores;moodle;professor-mediador;tutores,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?mediacao-pedagogica-no-moodle,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=707,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2022/07/vitrine_mediacao_pedagogica.png,
5,791,Caminhos da Educação Crítica: Integração entre Pedagogia e Educação Ambiental,Caminhos da educação crítica: integração entre pedagogia e educação ambiental,60h,Português (Brasil),Intermediário,[Flávia Nessrala Nascimento](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=2115),"Estudantes de qualquer licenciatura, professores da educação básica, técnica ou superior, pedagogos e coordenadores pedagógicos.",Computador ou smartphone com acesso à internet.,Não há pré-requisitos.,"O MOOC Caminhos da Educação Crítica apresenta fundamentos dasteorias pedagógicas, discute a construção e os limites da BNCC e introduz conceitos essenciais da Educação Ambiental Crítica. Voltado para professores em formação inicial e continuada, o curso oferece reflexões, recursos e atividades que articulam pedagogia, currículo e questões socioambientais na perspectiva da transformação social.",1. Asteorias pedagógicas; 2. A BNCC; 3. Os Limites planetários; 4. Macrotendências da Educação Ambiental; 5. Sugestão de recursos.,"O curso é desenvolvido por meio de textos, vídeo aulas, esquemas e infográficos oferecendo uma abordagem dinâmica aos cursistas. O curso conta com exemplos de atividade envolvendo a EA e a pedagogia Histórico-Crítica, sugestões de vídeos e músicas, materiais complementares e fórum de discussão para estimular a troca de experiências entre os participantes. Ressaltamos que o curso não possui tutoria, no entanto há espaços de interação os quais podem ser utilizados para compartilhar suas produções e obter outras ideias para desenvolvimento de projetos escolares.","As atividades avaliativas estão distribuídas ao longo dos tópicos, sempre posicionadas logo após o conteúdo a fim de facilitar sua resolução. No tópico 1, sobre asteorias pedagógicas, você encontrará cinco atividades avaliativas. Nos tópicos 2, 3 e 4 há um questionário cada, totalizando 100 pontos no conjunto das avaliações. Além dessas atividades pontuadas, algumas tarefas não possuem nota, mas são obrigatórias para a continuidade do curso, pois garantem o acompanhamento adequado da proposta formativa.
Criar Conta
Turmas anteriores",Ambiente e Saúde,caminhos;educacao-ambiental;educacao-critica;pedagogia,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?caminhos-educacao-critica-integracao-pedagogia-educacao-ambiental,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=791,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_CaminhosEudcaco.png,
6,622,A Química dos produtos de limpeza,A Química dos Produtos de Limpeza,45h,Português,Básico,[MYLENA SARAH LOUZADA RODRIGUES](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=144234),"Donas de casa, donos de casa, professores de química, pessoas da comunidade em geral que desejam aprender sobre o uso correto dos produtos de limpeza, a fim de prevenir danos à saúde, pessoas cegas e com baixa visão.","Necessário ter dispositivo com acesso à internet. Poderá ser acessado via smartphone, tablet ou computador.",Não há pré-requisitos para realização desse curso.,"O curso visa desmistificar e conscientizar os indivíduos sobre a importância do uso correto dos produtos de limpeza, por meio da relação da química com o cotidiano, também estabelecendo reflexões sobre os riscos que misturas de produtos podem ocasionar à saúde. Além disso, irá abordar as classificações e funções desses produtos e trazer orientações do que não se fazer em casa ao utilizá-los, como por exemplo usar a água sanitária sem diluir.","Afinal, o que é a Química ?
Afinal, o que são os produtos de limpeza?
Função e aplicação dos produtos de limpeza.
Cuidados e doses adequadas ao utilizá-los
Quais são os riscos à saúde ao misturar os produtos de limpeza?
Para ir além","Os conteúdos, a serem estudados de forma livre pelo cursista, estão disponíveis em forma de vídeos, textos, áudios, mapas mentais simples, atividades utilizando o H5P, Livro, Livro utilizando o H5p, História em Quadrinho (HQ), imagens e a audiodescrição das imagens em áudio e texto.
Questionário diagnóstico para levantamento dos conhecimentos prévios dos cursistas, abordando situações corriqueiras sobre a utilização dos produtos de limpeza. Essa atividade não valerá nota.
Indicação de materiais complementares na seção “para ir além”.
Fórum de discussão no qual os alunos podem interagir entre si, visando sanar dúvidas, ou discutir os conteúdos trabalhados. Essa atividade não valerá nota.
Questionários avaliativos de correção automática.
Jogos/quiz avaliativos de correção automática.
Este curso não possui tutoria.","Questionários avaliativos de autocorreção ao final de cada tópico sobre o conteúdo abordado. O cursista terá duas chances para fazer cada avaliação, prevalecerá a maior nota.
Jogos/Quiz avaliativos de autocorreção.
Os questionários e jogos/quiz possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos.
Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.",Ambiente e Saúde,limpeza;produtos-de-limpeza;quimica,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?quimica-produtos-limpeza,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=622,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_A-Quimica-dos-produtos-de-limpeza.png,
7,801,Desafios e Caminhos da Avaliação Matemática Inclusiva,Desafios e Caminhos da Avaliação Matemática Inclusiva,60h,Português,Básico,[Christiane Milagre da Silva Rodrigues](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=167587),Professores de Matemática dos Anos Finais do Ensino Fundamental,"Necessário computador, tablet ou smartphone com acesso à internet.",Não há pré-requisitos para a realização desse curso.,"O curso visa fornecer estratégias e subsídios para que os professores de Matemática planejem e implementem em suas aulas processos avaliativos que promovam a inclusão e a equidade na educação, garantindo que todos os estudantes tenham oportunidades justas e significativas de aprendizagem.","Avaliação para a Aprendizagem;
Educação Matemática Inclusiva;
Como avaliar numa perspectiva inclusiva;
Estratégias, subsídios e suportes teóricos e metodológicos para a avaliação da aprendizagem numa perspectiva inclusiva.","Os conteúdos, a serem estudados de forma livre pelo cursista, estão disponíveis em forma de vídeos, materiais textuais, podcasts e links para internet.
Há atividades práticas propostas para que o cursista pratique os conhecimentos adquiridos.
Há um fórum de discussão no qual os cursistas podem interagir entre si, visando sanar dúvidas ou discutir os conteúdos trabalhados.
Há base de dados em que os cursistas podem compartilhar suas produções com os colegas, bem como olhar e comentar suas produções, visando compartilhar experiências e ter novas ideias.
Há questionários avaliativos de correção automática.
Este curso não possui tutoria.","A avaliação da aprendizagem é constituída de quatro atividades avaliativas no formato de questionário, um fórum, dois jogos, duas bases de dados e uma pesquisa, valendo 10 pontos cada.
As atividades avaliativas possuem restrição para sua realização. Assim, só poderão ser realizadas caso o cursista tenha acessado certos recursos ou tenha realizado a entrega de determinadas atividades, conforme especificado em cada uma.
Para obter aprovação, o cursista deverá alcançar no mínimo 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas ao longo do curso.",Matemática,avaliacao;caminhos;desafios;matematica;processo-avaliativo,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?desafios-caminhos-avaliacao-matematica-inclusiva,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=801,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/06/vitrine_Desafios-e-Caminhos-da-Avaliacao-Matematica-Critica.png,
8,639,Uso de Realidade Aumentada no Ensino de Ciências,Uso de Realidade Aumentada no Ensino de Ciências,30h,português,Básico,[Isaura Nobre](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=17051),"Estudantes universitários, professores da Educação Básica, profissionais da área educacional e demais interessados em explorar o uso da Realidade Aumentada como recurso didático, especialmente no ensino de Ciências.","Computador e acesso à internet. O estudo pode ser feito por meio desmartphone, mas algumas atividades requerem o uso de computador com editor de texto.",Conhecimentos básicos em informática e editores de texto.,"Este curso apresenta os fundamentos da Realidade Aumentada (RA) e suas possibilidades de aplicação no Ensino de Ciências na Educação Básica. Por meio de recursos teóricos, vídeos, tutoriais e atividades interativas, os participantes irão explorar como a RA pode contribuir para tornar o ensino mais visual, dinâmico e significativo, promovendo a aprendizagem ativa e o engajamento dos estudantes. O curso também propõe o uso de algumas ferramentas para a criação de experiências em RA voltadas ao contexto educacional.","Realidade Aumentada e Realidade Virtual
Fundamentos da Realidade Aumentada
Realidade Aumentada no Ensino de Ciências","A metodologia do curso contempla momentos de estudos individuais e atividades baseadas em autoinstrução como estudos dirigidos e questionáriosonline, seguidos de momentos com atividades que levam o cursista à reflexão individual sobre sua aprendizagem;
Os conteúdos podem ser estudados de forma livre pelo cursista e estão disponíveis em forma de vídeo tutoriais e material complementar (links, vídeos e textos considerados relevantes);
Os cursistas têm à disposição um espaço de fórum colaborativo para troca de informações e colaboração no caso de dúvidas, aprendendo uns com os outros e colaborando ativamente na construção do conhecimento;
Com o objetivo de estimular a participação dos estudantes o ambiente será gamificado;
Este curso não possui tutoria.","A avaliação da aprendizagem é constituída de questionários e jogos ao longo do curso.
Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Tecnologias e Informática,ensino-de-ciencias;realidade-aumentada;realidade-virtual;unac,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?realidade-aumentada-ciencias,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=639,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_uso-de-realidade-aumentada-1.png,
9,638,Fundamentos da Eficiência Energética,Fundamentos da Eficiência Energética,45h,Português,Intermediário,[Arthur Eduardo Alves Amorim](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=22212),"Profissionais, estudantes e gestores interessados em otimizar o uso da energia em edificações, indústrias e demais setores","Acesso a computador, tablet ou smatphone e internet","Conhecimentos básicos de física e matemática, além de interesse por temas relacionados à energia, sustentabilidade e gestão de recursos. Não é necessário ter experiência prévia na área","O curso aborda os conceitos essenciais de eficiência energética, fontes de energia, usos finais e tecnologias eficientes. Apresenta métodos de auditoria e gestão de energia, com foco na identificação de desperdícios e na implementação de melhorias. Também explora ações práticas de eficiência em edificações e na indústria, promovendo o uso racional da energia e a sustentabilidade","Eficiência Energética
Fontes de Energia
Usos Finais da Energia
Tecnologias Eficientes
Auditoria Energética
Gestão de Energia
Ações de Eficiência Energética em Edificações
Ações de Eficiência Energética na Indústria","O conteúdo será apresentado por meio devídeo-aula, slides, textos e links da internet e material complementar para aprofundamento das temáticas sugeridas sob livre consulta do aluno. Por ser um curso sem tutoria, as atividades avaliativas estão baseadas nos textos evídeo-aulasdisponíveis. As atividades serão diversificadas, de forma a contribuir para a dinâmica do processo de aprendizagem.","O cursista será avaliado por meio de questionários avaliativos de autocorreção ao final de cada tópico, que juntos totalizam 100 pontos. Os questionários possuem restrição para sua realização. Assim, estão condicionados ao acesso de certos recursos ou à entrega de determinadas atividades. Para obter aprovação, o cursista deverá alcançar 60% da nota máxima no curso, constituída da soma de todas as atividades avaliativas realizadas.
Criar Conta
Turmas anteriores",Engenharia,eficiencia;eficiencia-energetica;energia;fundamentos;unac,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?fundamentos-eficiencia-energetica,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=638,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_fundamentos-da-eficiencia-energetica-1.png,
10,635,Espanhol Comunicativo para Brasileiros,Espanhol Comunicativo para Brasileiros,60h,Espanhol (com partes em português),Básico,[Sandra Mara Mendes da Silva Bassani](https://mooc.cefor.ifes.edu.br/moodle/user/profile.php?id=14116),Qualquer pessoa que deseje obter os níveis básicos (A1 e A2) de Espanhol.,"O curso poderá ser feito por meio de conexão com a Internet, com qualquer dispositivo eletrônico (laptop, tablet, smartphone, computador).",Não há pré-requisito.,Curso para aprendizado do idioma Espanhol.,"Unidade 1:O Alfabeto Gráfico. O Alfabeto Fonético. Pronúncia das Consoantes. Pronúncia das Vogais, das Semivogais e dos Ditongos. Pronúncias Especiais.
Unidade 2:Cumprimentos. Apresentações. Pronomes demonstrativos. Despedidas. Informações pessoais (nome, endereço, e-mail, telefone, estado civil). Pronomes pessoais (sujeito). Verbos no Presente do Indicativo (regulares). Países e nacionalidades. Membros da família.
Unidade 3:Descrição física e de personalidade. Profissões/ocupações. Pronomes interrogativos. Meios de transporte e localização. Vestuário. Cores. Dias, meses, números cardinais e ordinais. Data e horas. Verbos no Presente do Indicativo (irregulares). Gênero e número dos substantivos.
Unidade 4:Pedir e dar permissão. Adjetivos possessivos. Pronomes reflexivos. Artigos definidos e indefinidos. Preposições. Gostos e preferências (restaurantes, comidas e bebidas). Adjetivos e advérbios. Frases úteis. Gerúndio. Turismo, esportes, lazer e cultura.
Unidade 5:Descrição da residência. Vocabulário de móveis e utensílios domésticos. Heterossemânticos. Vocabulário de cinema e TV. Comparativo e superlativo. Ações passadas (pretérito indefinido, imperfeito e composto).
Unidade 6:Ações futuras (futuro simples). Clima e tempo meteorológico. Estações do ano. Viagens (frases e vocabulário). Imperativo. Partes do corpo e saúde.","Apresentação por videoaulas; conteúdo escrito e falado; uso de podcasts, vídeos e flashcards; exercícios de fixação; atividades de autocorreção;avaliação final.","Avaliação contínua por meio de quizzes de múltipla escolha, atividades de compreensão oral e escrita. Cada unidade possui avaliação de 10 pontos (total de 60 pontos). Ao final, há uma avaliação de 40 pontos, totalizando 100 pontos. Para certificação, é necessário atingir no mínimo 60 pontos.
Criar Conta
Turmas anteriores",Desenvolvimento Educacional e Social;Línguas,aprendizagem;comunicacao;conversacao;espanhol;idioma;ingles;lingua-inglesa;unac;vocabulario,nao,https://mooc.cefor.ifes.edu.br/moodle/course/view.php?espanhol-comunicativo,https://mooc.cefor.ifes.edu.br/moodle/course/info.php?id=635,https://mooc.cefor.ifes.edu.br/v/wp-content/uploads/2026/05/unac_espanhol-comunicativo-1.png,
